"CountryA","CountryB","BtoA","AtoB"
"FRA","DZA",201387,78867
"FRA","AUS",8385,1925
"FRA","AUT",7100,7460
"FRA","BEN",114,142
"FRA","AND",111,111
"FRA","AGO",3140,684
"FRA","ARG",5096,12629
"FRA","BRB",1486,212
"FRA","BEL",15164,32660
"FRA","BOL",457,127
"FRA","BIH",10555,227
"FRA","BRA",4450,5320
"FRA","CMR",327,3350
"FRA","CAN",9017,17131
"FRA","CHL",3084,1454
"FRA","CHN",6076,183
"FRA","COL",5077,614
"FRA","COD",613,10738
"FRA","COG",311,1035
"FRA","CIV",360,6875
"FRA","CUB",3384,263
"FRA","CZE",62510,158
"FRA","DNK",7633,268
"FRA","DOM",2017,488
"FRA","EGY",1224,5287
"FRA","ETH",269,936
"FRA","FIN",22393,126
"FRA","DEU",73631,11261
"FRA","ANT",4725,164
"FRA","ESP",42916,22836
"FRA","CHE",8812,23713
"GHA","BEN",8943,230
"GHA","CIV",12600,14716
"GHA","FRA",153,561
"GHA","DEU",201,139
"GHA","CHE",137,165
"GHA","GBR",2710,1934
"HKG","AUS",1908,1032
"HKG","CAN",535,1150
"HKG","FRA",184,6857
"HKG","GBR",3858,5079
"ISL","DNK",541,836
"ISL","DEU",433,112
"DZA","DEU",794,3182
"DZA","CHE",171,3886
"AZE","ARM",64476,81886
"BEL","AUT",765,1489
"BOL","ARG",1988,36202
"BIH","AUT",480,7935
"BRA","ARG",8994,25366
"BRA","BOL",4245,2373
"BFA","BEN",644,663
"KHM","FRA",488,2153
"KHM","IDN",125,640
"KHM","GBR",140,205
"CMR","BEN",225,262
"CMR","CAF",5484,5211
"CMR","CIV",160,422
"CAN","AUS",3332,2841
"CAN","AUT",30778,1357
"CAN","BEL",13210,790
"CAN","BRA",950,450
"TCD","CMR",10164,20889
"TCD","CAF",2712,7805
"TCD","COG",241,217
"TCD","NER",844,195
"TCD","NGA",4411,463
"TCD","SDN",3359,2828
"CHL","AUS",399,141
"CHL","ARG",6122,47445
"CHL","BOL",3554,2627
"CHL","BRA",305,705
"CHL","CHE",446,197
"CHN","AUS",695,4489
"CHN","CAN",480,11664
"COL","ARG",384,4030
"COL","BRA",900,302
"COL","CAN",127,2443
"COL","CHL",417,334
"COL","CHE",243,353
"COD","CHE",3359,207
"COG","AGO",415,1447
"COG","CMR",314,916
"COG","CAF",1702,474
"CRI","COL",318,197
"CIV","BFA",158041,12891
"HRV","AUT",3795,4558
"HRV","BEL",175,353
"HRV","CAN",450,5466
"HRV","CZE",378,151
"HRV","FRA",1925,2273
"HRV","DEU",11766,5399
"HRV","CHE",792,1619
"HRV","GBR",133,373
"CUB","ARG",186,120
"CUB","COL",117,560
"DNK","BEL",146,189
"DNK","DEU",18302,2325
"DOM","ATG",164,171
"DOM","CAN",169,243
"DOM","CUB",293,286
"DOM","ANT",422,1857
"ECU","ARG",220,265
"ECU","BRA",115,176
"ECU","CHL",790,396
"ECU","COL",6054,3400
"ECU","DEU",200,329
"EGY","DZA",2538,474
"EGY","DEU",213,350
"SLV","CRI",613,427
"SLV","FRA",153,439
"SLV","GTM",5617,1509
"SLV","HND",11611,20336
"SLV","MEX",839,1227
"SLV","NIC",1519,413
"SLV","PAN",186,239
"ETH","DJI",698,1469
"FIN","BEL",122,491
"FIN","CAN",375,13732
"FIN","DNK",244,1453
"FIN","DEU",1010,1591
"FIN","CHE",107,1463
"GUF","BRA",215,106
"GUF","GLP",269,141
"PYF","FRA",623,135
"PYF","NCL",117,288
"GAB","CAF",109,161
"GAB","COG",159,112
"GEO","AZE",4266,6779
"DEU","AUS",313,53877
"DEU","AUT",27609,262194
"DEU","AGO",106,536
"DEU","ARG",509,23325
"DEU","BEL",3590,7693
"DEU","BIH",17259,1330
"DEU","BRA",575,27840
"DEU","BGR",153,163
"DEU","CAN",633,88113
"DEU","CHL",347,5396
"DEU","COL",337,1268
"DEU","COD",166,647
"DEU","CZE",368185,293
"DEU","CHE",8765,3171
"GIB","GBR",868,5670
"GRC","DZA",190,2577
"GRC","ALB",2845,23168
"GRC","BGR",101,644
"GRC","CYP",936,1413
"GRC","EGY",334,38594
"GRC","FRA",109,5124
"GRC","DEU",121,12267
"GRC","GBR",3253,5385
"GRD","DMA",127,104
"GLP","FRA",1495,15207
"GTM","CRI",4856,222
"GTM","FRA",112,379
"GIN","BFA",411,470
"GIN","FRA",212,310
"GNB","GIN",2371,252
"GUY","BRA",144,142
"GUY","CAN",163,1167
"GUY","ESP",657,160
"GUY","GBR",909,5870
"HTI","CUB",1181,3117
"HTI","DOM",5241,20098
"HTI","FRA",180,677
"HND","CRI",126,441
"HND","GTM",2461,7767
