"word","F","M"
"000",39,92
"10",444,631
"100",57,106
"100%",92,159
"11",137,206
"12",218,304
"13",104,137
"14",89,130
"15",184,296
"16",91,126
"17",72,95
"18",132,193
"19",89,108
"1st",32,70
"20",219,351
"2008",29,96
"2009",53,95
"2010",87,164
"2011",101,160
"2012",110,154
"21",107,128
"22",105,142
"23",97,152
"24",116,171
"25",120,180
"26",56,118
"27",49,111
"28",53,86
"30",166,271
"3rd",38,69
"40",73,129
"420",31,78
"49ers",51,107
"50",92,123
"500",29,151
"80's",48,89
"a's",63,64
"ability",260,300
"able",784,1010
"about",10146,14200
"above",318,478
"abroad",320,317
"absolute",67,75
"absolutely",504,422
"absurd",65,135
"academic",69,109
"academy",43,114
"accent",132,221
"accept",132,183
"accepting",113,112
"access",60,69
"accomplish",54,67
"accomplished",74,121
"according",104,119
"account",91,127
"accurate",90,141
"achieve",74,134
"across",339,579
"act",193,341
"acting",83,123
"action",134,173
"actions",70,135
"active",1599,2018
"actively",77,122
"activist",75,85
"activities",784,1120
"activity",261,354
"actor",36,88
"acts",45,67
"actual",85,151
"actually",912,1430
"ad",43,78
"add",283,385
"addict",67,62
"addicted",140,156
"addiction",67,83
"adding",51,58
"addition",85,137
"adjectives",62,107
"admire",123,121
"admit",270,364
"adopted",49,67
"adorable",93,63
"adore",324,138
"adrenaline",67,84
"adult",226,238
"adults",63,62
"advantage",156,175
"adventure",1316,1324
"adventurer",74,112
"adventures",1235,1133
"adventuring",49,61
"adventurous",1105,1076
"advertising",52,85
"advice",93,112
"advocate",58,52
"affairs",34,72
"affection",127,144
"affectionate",441,372
"affinity",48,54
"afraid",507,623
"africa",218,209
"african",53,59
"after",1906,2989
"afternoon",135,135
"again",733,1032
"against",153,272
"age",509,725
"ages",67,65
"aggressive",48,59
"ago",1289,1913
"agree",130,182
"ah",47,69
"ahead",101,192
"aim",44,80
"ain't",46,95
"air",201,267
"alameda",28,77
"alaska",63,99
"alcohol",66,117
"alive",179,245
"all",8224,11732
"allergic",104,84
"allow",84,170
"allowed",53,90
"allows",123,139
"almost",1037,1433
"alone",504,539
"along",1089,1680
"alot",147,306
"already",326,526
"alright",48,116
"also",7257,9166
"alternative",79,143
"although",963,1150
"alto",52,150
"always",4375,6125
"am",28153,31330
"am:",45,77
"amateur",44,97
"amazed",47,54
"amazing",1195,1196
"ambition",80,112
"ambitious",336,556
"america",298,424
"american",315,491
"among",153,241
"amongst",43,66
"amount",253,365
"amounts",46,64
"amused",84,79
"amusing",55,93
"an",9320,13620
"analytical",132,162
"ancient",46,99
"and",111009,141503
"angeles",123,212
"angry",48,102
"animal",255,205
"animals",686,479
"animation",30,86
"anime",58,137
"annoying",80,67
"another",775,1202
"answer",219,305
"answered",43,72
"answering",55,64
"answers",83,168
"any",2188,3437
"anybody",61,100
"anymore",167,232
"anyone",738,1014
"anything",2574,3845
"anytime",87,112
"anyway",249,402
"anyways",65,134
"anywhere",316,356
"apart",76,136
"apartment",142,187
"apologize",49,60
"apparently",130,204
"appealing",39,67
"appear",47,96
"appearance",49,73
"apple",47,96
"apply",92,130
"appreciate",1256,1162
"appreciated",70,62
"appreciates",128,133
"appreciating",65,50
"appreciation",211,212
"appreciative",55,54
"approach",149,234
"appropriate",66,98
"april",40,65
"architecture",163,228
"are",10292,13257
"are:",78,85
"area",3140,4481
"areas",150,202
"aren't",276,398
"argentina",82,97
"argue",46,89
"arizona",61,89
"arms",65,69
"army",15,109
"around",3352,5218
"arrived",43,93
"arrogant",51,110
"art",2021,2377
"articulate",99,101
"artist",471,697
"artistic",293,396
"artists",81,140
"arts",525,701
"artsy",88,89
"as",13097,18886
"asia",191,303
"asian",167,218
"aside",114,179
"ask",937,1644
"asked",172,264
"asking",110,143
"asleep",52,80
"aspect",69,95
"aspects",120,207
"aspirations",33,75
"aspire",65,71
"aspiring",57,125
"ass",278,394
"assertive",69,55
"asshole",26,94
"assistant",69,44
"assume",68,77
"at",11834,17109
"atheist",45,77
"athlete",61,117
"athletic",324,575
"atlanta",37,87
"attached",53,63
"attempt",126,171
"attempting",57,84
"attend",123,165
"attended",61,107
"attending",136,199
"attention",242,404
"attentive",33,72
"attitude",215,317
"attract",55,57
"attracted",337,399
"attraction",117,179
"attractive",305,364
"august",90,126
"austin",56,102
"australia",171,242
"authentic",126,144
"authenticity",48,62
"available",140,213
"average",169,364
"avid",199,258
"avoid",113,235
"aware",212,242
"awareness",80,81
"away",827,1247
"awe",53,63
"awesome",912,1467
"awful",51,91
"awhile",131,139
"awkward",279,318
"ba",71,99
"babies",67,43
"baby",194,179
"back",3463,5593
"background",129,220
"backpack",59,72
"backpacking",211,336
"backyard",83,62
"bacon",58,79
"bad",768,1235
"bag",64,95
"baggage",95,93
"bake",142,69
"baking",244,119
"balance",578,717
"balanced",204,230
"ball",154,207
"ballet",135,91
"ballroom",48,57
"balls",45,60
"band",188,377
"bands",118,271
"banter",170,129
"bar",489,747
"barbara",54,81
"barcelona",45,66
"barely",48,64
"bars",473,713
"bart",45,67
"base",45,89
"baseball",382,510
"based",166,282
"basic",73,159
"basically",335,516
"basics",46,78
"basis",180,216
"basketball",190,547
"bass",56,174
"bay",3701,5154
"bbq",59,120
"be",15347,20474
"beach",1239,1327
"beaches",170,217
"bear",79,170
"beard",8,104
"bears",60,63
"beat",175,233
"beaten",35,67
"beats",57,106
"beautiful",1098,1056
"beauty",500,525
"became",111,199
"because",2699,3831
"become",535,808
"becomes",38,95
"becoming",147,235
"bed",296,310
"bedroom",48,80
"been",5154,8050
"beer",612,902
"beers",77,144
"before",1089,1787
"began",39,74
"begin",133,194
"beginning",123,185
"behavior",55,94
"behind",180,295
"being",5548,6402
"beings",75,73
"belief",53,93
